rank,word,per_million,zipf,wordfreq_pm,opensubtitles_pm
607,sechs,141.51,5.15,135.0,148.01
608,zeigt,141.35,5.15,219.0,63.7
609,gefällt,141.32,5.15,87.1,195.54
610,unten,140.84,5.15,102.0,179.68
611,woher,140.7,5.15,43.7,237.7
612,wert,140.54,5.15,155.0,126.09
613,holen,140.47,5.15,64.6,216.34
614,euro,140.37,5.15,263.0,17.73
615,probleme,140.3,5.15,148.0,132.6
616,drauf,140.26,5.15,112.0,168.51
617,zukunft,140.2,5.15,162.0,118.41
618,super,139.49,5.14,155.0,123.98
619,völlig,139.46,5.14,145.0,133.92
620,herz,139.22,5.14,107.0,171.44
621,kleiner,139.15,5.14,100.0,178.29
622,mama,138.92,5.14,47.9,229.94
623,bett,138.9,5.14,87.1,190.71
624,aller,138.57,5.14,200.0,77.15
625,wahl,138.4,5.14,155.0,121.8
626,wagen,138.2,5.14,69.2,207.2
